"Gene_ID"	"gene_number"	"gene_name"	"chromosome"	"percent.divergent"	"BayesianPostProbofDivergence"	"foldSD"	"MedianAncHominini"	"MedianAncHomo"
"52"	"ENSG00000181610"	2895	"MRPS23"	"17"	0.715	0.945	1.21360743521816	8.283887703403	6.4154612429275
"53"	"ENSG00000204590"	2964	"GNL1"	"6"	0.718	0.908	1.59682973598758	9.9788923674915	8.531519627118
"54"	"ENSG00000212127"	2973	"TAS2R14"	"12"	0.908	0.987	2.56872656046712	3.085576531365	4.4638402073425
"55"	"ENSG00000108883"	3032	"EFTUD2"	"17"	0.667	0.913	1.41598981785714	7.530044037813	6.691575967174
"56"	"ENSG00000124635"	3098	"HIST1H2BJ"	"6"	0.731	0.907	2.85914358480067	2.1571123761365	1.1646414894235
"57"	"ENSG00000128617"	3106	"OPN1SW"	"7"	0.711	0.916	2.50601921648942	2.587249458891	1.917908788373
"58"	"ENSG00000138356"	3142	"AOX1"	"2"	0.745	0.912	2.67540821994988	1.8803389431305	1.0818311870085
"59"	"ENSG00000144668"	3187	"ITGA9"	"3"	0.748	0.944	1.33869919225692	3.336921343219	2.401200640588
"60"	"ENSG00000159055"	3264	"MIS18A"	"21"	0.00800000000000001	0.953	0.227345213669935	2.0323408955085	2.9113811790735
"61"	"ENSG00000049247"	3520	"UTS2"	"1"	0.834	0.977	1.32098391445139	1.6421824578315	3.1843138095675
"62"	"ENSG00000064313"	3531	"TAF2"	"8"	0.733	0.925	1.55365704346213	3.897860839129	3.084807863984
"63"	"ENSG00000068120"	3536	"COASY"	"17"	0.692	0.921	1.41080339915151	7.1854857087985	8.7132546991885
"64"	"ENSG00000112877"	3614	"CEP72"	"5"	0.721	0.937	1.72662394260544	1.915296255449	2.381061499521
"65"	"ENSG00000113119"	3633	"TMCO6"	"5"	0.798	0.95	2.39786602218241	4.593346797563	3.144205495489
"66"	"ENSG00000113296"	3647	"THBS4"	"5"	0.783	0.958	1.41692408311811	2.7698807398145	4.1376450510945
"67"	"ENSG00000121691"	3693	"CAT"	"11"	0.666	0.912	1.11342853875503	4.921388430653	6.816096946233
"68"	"ENSG00000131368"	3717	"MRPS25"	"3"	0.815	0.945	2.15736298460903	7.5182375570835	8.743252555383
"69"	"ENSG00000144867"	3755	"SRPRB"	"3"	0.684	0.927	1.00918797808436	10.3435919161975	15.507659714697
"70"	"ENSG00000145354"	3787	"CISD2"	"4"	0.699	0.923	1.61635874039253	7.760975971057	9.1295802967455
"71"	"ENSG00000145439"	3800	"CBR4"	"4"	0.657	0.911	1.10919432761787	3.2671536577565	3.9958543600985
"72"	"ENSG00000151838"	3833	"CCDC175"	"14"	0.676	0.921	1.13861195585177	1.847516786347	2.7106033887205
"73"	"ENSG00000152348"	3845	"ATG10"	"5"	0.784	0.953	1.39709128817613	3.2726792013235	5.227292310135
"74"	"ENSG00000154473"	3860	"BUB3"	"10"	0.749	0.939	1.46902242640707	6.9779207438495	8.1781144950805
