"Gene_ID"	"gene_number"	"gene_name"	"chromosome"	"percent.divergent"	"BayesianPostProbofDivergence"	"foldSD"	"MedianAncHominini"	"MedianAncHomo"
"222"	"ENSG00000108272"	10076	"GIT1"	"17"	0.777	0.958	1.57659766790121	9.014514097586	6.684290893351
"223"	"ENSG00000108433"	10096	"GOSR2"	"17"	0.725	0.942	1.19196805249637	6.690707618153	7.8103436739535
"224"	"ENSG00000108528"	10109	"SLC25A11"	"17"	0.956	0.998	2.38583906938446	11.5579575187915	8.4992634370315
"225"	"ENSG00000108591"	10119	"DRG2"	"17"	0.731	0.91	2.31533922335261	6.513681635447	5.4713752883355
"226"	"ENSG00000108846"	10147	"ABCC3"	"17"	0.633	0.903	1.34034909542548	1.608058962873	0.8385020497065
"227"	"ENSG00000128891"	10199	"C15orf57"	"15"	0.744	0.923	2.14314660415531	5.1702029253105	4.4388221198315
"228"	"ENSG00000129235"	10201	"TXNDC17"	"17"	0.894	0.984	2.10076256839961	5.9044258974305	4.1227228316275
"229"	"ENSG00000131148"	10212	"EMC8"	"16"	0.731	0.934	1.57289559244179	4.95301367533	5.8105721727555
"230"	"ENSG00000131374"	10215	"TBC1D5"	"3"	0.621	0.909	1.17097916506174	5.3261381854355	6.018782833119
"231"	"ENSG00000141026"	10276	"MED9"	"17"	0.693	0.929	1.75118273386308	6.9654080863525	5.827865840093
"232"	"ENSG00000141378"	10299	"PTRH2"	"17"	0.716	0.938	1.11442754819594	5.707920435073	4.885077369263
"233"	"ENSG00000141424"	10306	"SLC39A6"	"18"	0.662	0.921	1.02117748514849	5.135008544378	6.128134933663
"234"	"ENSG00000153066"	10312	"TXNDC11"	"16"	0.001	0.962	0.299593731412401	5.5963653550455	4.067398131834
"235"	"ENSG00000154162"	10325	"CDH12"	"5"	0.763	0.944	0.801305317213977	3.232545490559	2.2077776064365
"236"	"ENSG00000160075"	10341	"SSU72"	"1"	0.676	0.905	1.34180455124568	14.768485457494	13.35626049569
"237"	"ENSG00000160973"	10366	"FOXH1"	"8"	0.722	0.925	0.103939219834812	6.880039685426	10.2136604435255
"238"	"ENSG00000167531"	10416	"LALBA"	"12"	0.00800000000000001	0.998	0.0925807159368206	3.434412698911	0.0033670329355
"239"	"ENSG00000175176"	10489	"PPM1E"	"17"	0.794	0.962	1.23881144452751	2.3161574801625	1.641347582445
"240"	"ENSG00000176563"	10505	"CNTD1"	"17"	0.737	0.929	1.54815658877653	2.3744718183775	3.325097348898
"241"	"ENSG00000178719"	10522	"GRINA"	"8"	0.805	0.963	1.53409752128498	21.665069856811	15.5761850315955
"242"	"ENSG00000186919"	10615	"ZACN"	"17"	0.818	0.966	1.37929243534107	8.422797241325	10.2320536093915
"243"	"ENSG00000196236"	10846	"XPNPEP3"	"22"	0.957	0.997	2.02921545928898	3.2279144279845	5.191606340022
"244"	"ENSG00000104863"	11034	"LIN7B"	"19"	0.766	0.95	1.48862508213896	10.188800832498	8.228945362125
"245"	"ENSG00000105251"	11095	"SHD"	"19"	0.739	0.915	2.23975306966872	5.187323039057	3.6378841551425
"246"	"ENSG00000124208"	11202	"TMEM189-UBE2V1"	"20"	0.687	0.92	1.30619489103323	10.310905156217	11.5800603231455
"247"	"ENSG00000130167"	11292	"TSPAN16"	"19"	0.986	1	2.39942179107379	3.072042459842	7.373079440255
"248"	"ENSG00000131650"	11329	"KREMEN2"	"16"	0.838	0.975	1.64317889200084	1.3769336098105	2.2462188966135
"249"	"ENSG00000159208"	11388	"CIART"	"1"	0.712	0.922	1.88344117977671	6.970325732818	4.7546471130475
"250"	"ENSG00000159210"	11389	"SNF8"	"17"	0.822	0.968	1.78857173289515	9.603480389757	8.178676958119
"251"	"ENSG00000159871"	11394	"LYPD5"	"19"	0.734	0.932	1.42896889126564	3.2302600646165	4.3387847487965
"252"	"ENSG00000166971"	11431	"AKTIP"	"16"	0.002	0.927	0.0522863891453515	9.8764304604345	8.1002197745785
"253"	"ENSG00000169026"	11473	"MFSD7"	"4"	0.75	0.944	1.53355774706024	1.806929088171	2.5261287095815
"254"	"ENSG00000173253"	11506	"DMRT2"	"9"	0.654	0.912	0.884162834568799	0.84092228307	2.0394966746215
"255"	"ENSG00000175792"	11523	"RUVBL1"	"3"	0.002	0.938	0.0323553772294165	6.097610884638	5.408117509636
"256"	"ENSG00000181195"	11566	"PENK"	"8"	0.653	0.901	1.451625728534	4.0005450254135	2.587645736883
"257"	"ENSG00000203876"	11665	"ADD3-AS1"	"10"	0.775	0.953	1.74586548075827	1.3939552870455	2.2471839990775
"258"	"ENSG00000204334"	11668	"ERICH2"	"2"	0.792	0.965	1.88833864061205	2.884259058623	2.060126742908
"259"	"ENSG00000204634"	11671	"TBC1D8"	"2"	0.966	0.999	2.19252234971018	4.834372821593	7.325581606768
"260"	"ENSG00000064270"	11696	"ATP2C2"	"16"	0.817	0.948	2.43343739837944	1.6617640724215	2.049350443852
"261"	"ENSG00000100983"	11754	"GSS"	"20"	0.702	0.911	1.72522260542801	6.7951264092435	7.5833886290505
"262"	"ENSG00000101082"	11769	"SLA2"	"20"	0.692	0.935	1.12683514370976	1.2646001565375	2.0191688899235
"263"	"ENSG00000101310"	11820	"SEC23B"	"20"	0.686	0.922	1.50723161289972	6.7559316274345	7.653787305909
"264"	"ENSG00000101391"	11840	"CDK5RAP1"	"20"	0.673	0.907	1.59134675088804	5.828310498668	5.267378229537
"265"	"ENSG00000171451"	12011	"DSEL"	"18"	0.699	0.923	1.02436933685819	2.6322261112945	3.6887363024235
"266"	"ENSG00000141519"	12075	"CCDC40"	"17"	0.758	0.926	2.74802589460629	2.278047690029	1.758714515591
"267"	"ENSG00000156928"	12107	"MALSU1"	"7"	0.686	0.904	2.00925527803388	6.6239827872555	6.0305217946595
"268"	"ENSG00000100296"	12319	"THOC5"	"22"	0.645	0.909	1.36547564012936	5.640286521716	5.1540149085205
"269"	"ENSG00000100350"	12337	"FOXRED2"	"22"	0.753	0.94	1.181776851736	5.0331059430175	6.4701238570565
"270"	"ENSG00000100360"	12342	"IFT27"	"22"	0.768	0.938	1.95979246444323	5.936953475297	7.0817480681305
"271"	"ENSG00000100380"	12351	"ST13"	"22"	0.657	0.911	1.16221313978529	10.905435476593	12.7596937497475
"272"	"ENSG00000182993"	12415	"C12orf60"	"12"	0.673	0.915	1.12758941827137	0.9570460407385	1.7542502510665
"273"	"ENSG00000102104"	12608	"RS1"	"X"	0.76	0.942	1.21024653048419	0.9600258319565	2.0456191335175
"274"	"ENSG00000102230"	12622	"PCYT1B"	"X"	0.694	0.931	1.29547681228431	3.925646124021	4.5362375626965
"275"	"ENSG00000125388"	12654	"GRK4"	"4"	0.001	0.943	0.01192234358877	3.9700449735345	2.8355899471185
"276"	"ENSG00000131351"	12690	"HAUS8"	"19"	0.737	0.918	2.21044939819377	2.217316865694	1.747843797515
"277"	"ENSG00000159445"	12765	"THEM4"	"1"	0.818	0.97	1.74233802076776	4.326230774748	3.221244098171
"278"	"ENSG00000169035"	12794	"KLK7"	"19"	0.732	0.955	1.31023724749437	7.6114498790415	4.4797057180955
"279"	"ENSG00000185689"	12872	"C6orf201"	"6"	0.97	0.995	2.8468448166057	1.767308859587	3.0494842994205
"280"	"ENSG00000198695"	12909	"MT-ND6"	"MT"	0.893	0.976	2.53568679259531	106.298002679739	167.652000559985
"281"	"ENSG00000205882"	12923	"DEFB134"	"8"	0.838	0.969	1.21444693810773	0.9503977016175	2.099127031457
"282"	"ENSG00000214414"	12936	"TRIM77"	"11"	0.026	0.933	0.930969076054541	16.497078875239	0.0355988619195
"283"	"ENSG00000214435"	12937	"AS3MT"	"10"	0.902	0.974	2.35910270338543	2.164298424105	3.235032890474
"284"	"ENSG00000214941"	12953	"ZSWIM7"	"17"	0.805	0.951	2.38568172241069	7.178375152133	5.643135617226
"285"	"ENSG00000221838"	12986	"AP4M1"	"7"	0.705	0.923	1.31669784809819	5.9559453543945	7.2301679672865
"286"	"ENSG00000241878"	13051	"PISD"	"22"	0.758	0.918	2.58416712381403	7.28893169865	5.9923091878105
"287"	"ENSG00000244045"	13073	"TMEM199"	"17"	0.946	0.99	2.24560325743195	4.956675498071	3.485342772197
